sample	group	unique_fragments	rRNA_fragments_all	rRNA_rate_all	rRNA_fragments_unique	rRNA_rate_unique	exon_fragments_unique	EPE	rRNA_rate_all_vs_mapped
NT1	NT	28201483	150189	0.005325570999227239	148325	0.005259475184336937	24977693	0.8856872172289663	0.005159504964549338
NT2	NT	31671893	156406	0.004938321811077096	154492	0.004877889679660133	27994247	0.8838829747246242	0.004798728226260806
NT3	NT	29516432	148043	0.0050156129982106236	146251	0.0049549010530812124	26138434	0.8855553408352338	0.00486773647508382
sh1s1	SH1	25936486	123326	0.00475492323825209	121698	0.0046921545193130635	22657465	0.8735749707959667	0.004607761181627749
sh1s2	SH1	22311616	100084	0.004485735143523445	98722	0.004424690708194332	19489610	0.8735185295408454	0.004347780568013438
sh1s3	SH1	28534208	133903	0.004692718297981146	132005	0.004626201645407505	24926090	0.8735511425444155	0.0045443430898770495
sh2s1	SH2	28899319	138215	0.004782638649720431	136417	0.004720422650789799	24995098	0.8649026643153771	0.004629394395229066
sh2s2	SH2	20665153	95498	0.0046212094340651625	94255	0.004561059867304152	17896977	0.8660461889636143	0.004486012461135286
sh2s3	SH2	26833280	131098	0.004885649462160422	129331	0.0048197983995993034	23402899	0.872159460192716	0.004737105256435055
